User ID;Name;Username;Bio;Location;Profile URL;Profile Image URL;Tweet Count;Follower Count;Following Count;Favorites Count;Media Count;Can DM;Created At;Verified;Blue Verified;Default Profile;Default Profile Image;Protected
1,83086E+18;zii;ziinrich;;;https://x.com/ziinrich;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;1;0;3;15;0;No;Tue Sep 03 06:52:14 +0000 2024;No;No;Yes;Yes;No
1,72846E+18;Deni;deniwisanggeni;Love self;Lesser Poland, Poland;https://x.com/deniwisanggeni;https://pbs.twimg.com/profile_images/1728461110402011136/ut9VET2m_normal.jpg;2;0;6;0;0;No;Sat Nov 25 16:58:28 +0000 2023;No;No;Yes;No;Yes
1,82603E+18;Next Betta45;n_betta45;;;https://x.com/n_betta45;https://pbs.twimg.com/profile_images/1826031539525922826/3h-kIxgC_normal.png;0;0;14;0;0;No;Tue Aug 20 23:00:19 +0000 2024;No;No;Yes;No;No
1,83033E+18;bob;Olang123Sa85150;;depok ;https://x.com/Olang123Sa85150;https://pbs.twimg.com/profile_images/1830331024443936769/gqqgVZK2_normal.png;2;2;66;0;0;Yes;Sun Sep 01 19:44:56 +0000 2024;No;No;Yes;No;No
298899162;Tarom;Taromassegaf;.;;https://x.com/Taromassegaf;https://pbs.twimg.com/profile_images/1658522920954781698/rr9wTre__normal.png;813;3098;30;90;56;Yes;Sun May 15 04:26:14 +0000 2011;No;No;No;No;No
1,78957E+18;monalisa tambunan;Monalisatbnan;;;https://x.com/Monalisatbnan;https://pbs.twimg.com/profile_images/1789566031578664960/-QhmDRAq_normal.png;2;0;4;34;0;No;Sun May 12 07:59:24 +0000 2024;No;No;Yes;No;No
1,81827E+18;Sufron Fhauzan;SufronF72214;;;https://x.com/SufronF72214;https://pbs.twimg.com/profile_images/1818273482649817088/fco7d3-9_normal.png;0;1;18;0;0;No;Tue Jul 30 13:12:34 +0000 2024;No;No;Yes;No;No
1,12682E+18;Ray;RayhanAhmad_20;Undefined;Land Of Dawn;https://x.com/RayhanAhmad_20;https://pbs.twimg.com/profile_images/1791157952738639872/DxUIA3Te_normal.jpg;1747;61;93;1919;117;Yes;Fri May 10 11:49:51 +0000 2019;No;No;Yes;No;No
1,77633E+18;0ryza;susubrenbren;;;https://x.com/susubrenbren;https://pbs.twimg.com/profile_images/1827901830531280896/B8On-Xqp_normal.jpg;0;0;2;0;0;No;Fri Apr 05 19:23:04 +0000 2024;No;No;Yes;No;No
1,68272E+18;Afrum;Afrum69;nggak tw;;https://x.com/Afrum69;https://pbs.twimg.com/profile_images/1785752062745325570/Tiy5qj39_normal.jpg;7;22;15;332;1;No;Sat Jul 22 11:33:20 +0000 2023;No;No;Yes;No;No
1,01475E+18;keren;arterihepatica;she's having the time of her life;;https://x.com/arterihepatica;https://pbs.twimg.com/profile_images/1770007963648110592/s5rr9vJF_normal.jpg;7979;42;221;23214;211;Yes;Thu Jul 05 05:44:10 +0000 2018;No;No;Yes;No;Yes
1,83101E+18;Tum_Hery;Tum_Hery;;;https://x.com/Tum_Hery;https://pbs.twimg.com/profile_images/1831010608659210242/z1BMUw_n_normal.jpg;0;0;20;0;0;Yes;Tue Sep 03 16:43:47 +0000 2024;No;No;Yes;No;No
1,83065E+18;kadek stivani;KadekStiva17023;;;https://x.com/KadekStiva17023;https://pbs.twimg.com/profile_images/1830654177187639296/NJ8I3Kua_normal.png;0;0;11;0;0;No;Mon Sep 02 17:09:01 +0000 2024;No;No;Yes;No;No
1,11201E+18;M Iqbal Al Farisi;kibuyy;Bridge Engineer | fans of Liverpool FC #YNWA;Indonesia;https://x.com/kibuyy;https://pbs.twimg.com/profile_images/1625836087167049728/BsQ0Z_Vl_normal.jpg;5198;50;295;1447;759;Yes;Sat Mar 30 15:16:08 +0000 2019;No;No;Yes;No;No
9,3543E+17;Andri;Aardinal12;;;https://x.com/Aardinal12;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;4;0;5;1;0;No;Tue Nov 28 08:47:33 +0000 2017;No;No;Yes;Yes;Yes
2408585952;pristiiiii;pristiazizah;1666666;Bandung, Jawa Barat;https://x.com/pristiazizah;https://pbs.twimg.com/profile_images/1605517999280074753/34VKlmny_normal.jpg;1233;476;219;681;19;Yes;Mon Mar 24 08:09:31 +0000 2014;No;No;Yes;No;Yes
1,83101E+18;jhon.wick75;jhon_wicky75;;;https://x.com/jhon_wicky75;https://pbs.twimg.com/profile_images/1831008514887819267/PSYfsK1a_normal.png;1;0;27;0;0;No;Tue Sep 03 16:37:02 +0000 2024;No;No;Yes;No;No
1,4182E+18;Jack Martel;JackMartel9;;;https://x.com/JackMartel9;https://pbs.twimg.com/profile_images/1418197590621917185/GSmpCZTL_normal.jpg;0;0;19;3;0;No;Thu Jul 22 13:12:00 +0000 2021;No;No;Yes;No;No
1,71037E+18;manch;Sahir51Reefa;;;https://x.com/Sahir51Reefa;https://pbs.twimg.com/profile_images/1782169708005138432/ZCKUSmA3_normal.jpg;0;0;18;0;0;No;Fri Oct 06 18:55:41 +0000 2023;No;No;Yes;No;No
